,img,col_off,row_off,width,height,split
0,Toulouse/Toulouse_EPSG32631_0.tif,0,0,2048,2048,0
1,Toulouse/Toulouse_EPSG32631_1.tif,0,0,2048,2048,0
2,Toulouse/Toulouse_EPSG32631_2.tif,0,0,2048,2048,0
3,Toulouse/Toulouse_EPSG32631_3.tif,0,0,2048,2048,0
4,Toulouse/Toulouse_EPSG32631_4.tif,0,0,2048,2048,0
5,Toulouse/Toulouse_EPSG32631_5.tif,0,0,2048,2048,0
6,Toulouse/Toulouse_EPSG32631_6.tif,0,0,2048,2048,0
7,Toulouse/Toulouse_EPSG32631_7.tif,0,0,2048,2048,1
8,Toulouse/Toulouse_EPSG32631_8.tif,0,0,2048,2048,2
9,Toulouse/Toulouse_EPSG32631_9.tif,0,0,2048,2048,2
