city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id,origin_tile
DigitanieStrasbourg,1,Strasbourg/strasbourg_tuile_1_img_normalized.tif,Strasbourg/strasbourg_tuile_1.tif,0,0,2000,2000,0,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,2,Strasbourg/strasbourg_tuile_2_img_normalized.tif,Strasbourg/strasbourg_tuile_2.tif,0,0,2000,2000,1,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,3,Strasbourg/strasbourg_tuile_3_img_normalized.tif,Strasbourg/strasbourg_tuile_3.tif,0,0,2000,2000,2,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,4,Strasbourg/strasbourg_tuile_4_img_normalized.tif,Strasbourg/strasbourg_tuile_4.tif,0,0,2000,2000,3,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,5,Strasbourg/strasbourg_tuile_5_img_normalized.tif,Strasbourg/strasbourg_tuile_5.tif,0,0,2000,2000,4,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,6,Strasbourg/strasbourg_tuile_6_img_normalized.tif,Strasbourg/strasbourg_tuile_6.tif,0,0,2000,2000,5,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,7,Strasbourg/strasbourg_tuile_7_img_normalized.tif,Strasbourg/strasbourg_tuile_7.tif,0,0,2000,2000,6,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,8,Strasbourg/strasbourg_tuile_8_img_normalized.tif,Strasbourg/strasbourg_tuile_8.tif,0,0,2000,2000,7,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,9,Strasbourg/strasbourg_tuile_9_img_normalized.tif,Strasbourg/strasbourg_tuile_9.tif,0,0,2000,2000,8,Strasbourg/strasbourg_full_tiled.tif
DigitanieStrasbourg,10,Strasbourg/strasbourg_tuile_10_img_normalized.tif,Strasbourg/strasbourg_tuile_10.tif,0,0,2000,2000,0,Strasbourg/strasbourg_full_tiled.tif
