city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id,min_vals,max_vals
Digitanie,0,Lagos/Lagos.tif,none,0,0,40066,56814,0,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_0.tif,Lagos/COS9/Lagos_0.tif,0,0,2048,2048,1,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_1.tif,Lagos/COS9/Lagos_1.tif,0,0,2048,2048,2,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_2.tif,Lagos/COS9/Lagos_2.tif,0,0,2048,2048,3,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_3.tif,Lagos/COS9/Lagos_3.tif,0,0,2048,2048,4,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_4.tif,Lagos/COS9/Lagos_4.tif,0,0,2048,2048,5,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_5.tif,Lagos/COS9/Lagos_5.tif,0,0,2048,2048,6,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_6.tif,Lagos/COS9/Lagos_6.tif,0,0,2048,2048,7,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_7.tif,Lagos/COS9/Lagos_7.tif,0,0,2048,2048,8,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_8.tif,Lagos/COS9/Lagos_8.tif,0,0,2048,2048,9,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
Digitanie,0,Lagos/Lagos_EPSG32631_9.tif,Lagos/COS9/Lagos_9.tif,0,0,2048,2048,10,"(0.0, 0.0, 0.0, 0.0)","(0.382, 0.371, 0.361, 0.428)"
