city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id
DigitanieV2,0,Arcachon/Arcachon_EPSG32630_0.tif,Arcachon/COS9/Arcachon_0-v4.tif,0,0,2048,2048,0
DigitanieV2,1,Arcachon/Arcachon_EPSG32630_1.tif,Arcachon/COS9/Arcachon_1-v4.tif,0,0,2048,2048,1
DigitanieV2,2,Arcachon/Arcachon_EPSG32630_2.tif,Arcachon/COS9/Arcachon_2-v4.tif,0,0,2048,2048,2
DigitanieV2,3,Arcachon/Arcachon_EPSG32630_3.tif,Arcachon/COS9/Arcachon_3-v4.tif,0,0,2048,2048,3
DigitanieV2,4,Arcachon/Arcachon_EPSG32630_4.tif,Arcachon/COS9/Arcachon_4-v4.tif,0,0,2048,2048,4
DigitanieV2,5,Arcachon/Arcachon_EPSG32630_5.tif,Arcachon/COS9/Arcachon_5-v4.tif,0,0,2048,2048,5
DigitanieV2,6,Arcachon/Arcachon_EPSG32630_6.tif,Arcachon/COS9/Arcachon_6-v4.tif,0,0,2048,2048,6
DigitanieV2,7,Arcachon/Arcachon_EPSG32630_7.tif,Arcachon/COS9/Arcachon_7-v4.tif,0,0,2048,2048,7
DigitanieV2,8,Arcachon/Arcachon_EPSG32630_8.tif,Arcachon/COS9/Arcachon_8-v4.tif,0,0,2048,2048,8
DigitanieV2,9,Arcachon/Arcachon_EPSG32630_9.tif,Arcachon/COS9/Arcachon_9-v4.tif,0,0,2048,2048,9
DigitanieV2,0,Brisbane/Brisbane_EPSG32756_0.tif,Brisbane/COS9/Brisbane_0-v4.tif,0,0,2048,2048,0
DigitanieV2,1,Brisbane/Brisbane_EPSG32756_1.tif,Brisbane/COS9/Brisbane_1-v4.tif,0,0,2048,2048,1
DigitanieV2,2,Brisbane/Brisbane_EPSG32756_2.tif,Brisbane/COS9/Brisbane_2-v4.tif,0,0,2048,2048,2
DigitanieV2,3,Brisbane/Brisbane_EPSG32756_3.tif,Brisbane/COS9/Brisbane_3-v4.tif,0,0,2048,2048,3
DigitanieV2,4,Brisbane/Brisbane_EPSG32756_4.tif,Brisbane/COS9/Brisbane_4-v4.tif,0,0,2048,2048,4
DigitanieV2,5,Brisbane/Brisbane_EPSG32756_5.tif,Brisbane/COS9/Brisbane_5-v4.tif,0,0,2048,2048,5
DigitanieV2,6,Brisbane/Brisbane_EPSG32756_6.tif,Brisbane/COS9/Brisbane_6-v4.tif,0,0,2048,2048,6
DigitanieV2,7,Brisbane/Brisbane_EPSG32756_7.tif,Brisbane/COS9/Brisbane_7-v4.tif,0,0,2048,2048,7
DigitanieV2,8,Brisbane/Brisbane_EPSG32756_8.tif,Brisbane/COS9/Brisbane_8-v4.tif,0,0,2048,2048,8
DigitanieV2,9,Brisbane/Brisbane_EPSG32756_9.tif,Brisbane/COS9/Brisbane_9-v4.tif,0,0,2048,2048,9
DigitanieV2,0,Can-Tho/Can-Tho_EPSG32648_0.tif,Can-Tho/COS9/Can-Tho_0.tif,0,0,2048,2048,0
DigitanieV2,1,Can-Tho/Can-Tho_EPSG32648_1.tif,Can-Tho/COS9/Can-Tho_1.tif,0,0,2048,2048,1
DigitanieV2,2,Can-Tho/Can-Tho_EPSG32648_2.tif,Can-Tho/COS9/Can-Tho_2.tif,0,0,2048,2048,2
DigitanieV2,3,Can-Tho/Can-Tho_EPSG32648_3.tif,Can-Tho/COS9/Can-Tho_3.tif,0,0,2048,2048,3
DigitanieV2,4,Can-Tho/Can-Tho_EPSG32648_4.tif,Can-Tho/COS9/Can-Tho_4.tif,0,0,2048,2048,4
DigitanieV2,5,Can-Tho/Can-Tho_EPSG32648_5.tif,Can-Tho/COS9/Can-Tho_5.tif,0,0,2048,2048,5
DigitanieV2,6,Can-Tho/Can-Tho_EPSG32648_6.tif,Can-Tho/COS9/Can-Tho_6.tif,0,0,2048,2048,6
DigitanieV2,7,Can-Tho/Can-Tho_EPSG32648_7.tif,Can-Tho/COS9/Can-Tho_7.tif,0,0,2048,2048,7
DigitanieV2,8,Can-Tho/Can-Tho_EPSG32648_8.tif,Can-Tho/COS9/Can-Tho_8.tif,0,0,2048,2048,8
DigitanieV2,9,Can-Tho/Can-Tho_EPSG32648_9.tif,Can-Tho/COS9/Can-Tho_9.tif,0,0,2048,2048,9
DigitanieV2,0,Lagos/Lagos_EPSG32631_0.tif,Lagos/COS9/Lagos_0_mask.tif,0,0,2048,2048,0
DigitanieV2,1,Lagos/Lagos_EPSG32631_1.tif,Lagos/COS9/Lagos_1_mask.tif,0,0,2048,2048,1
DigitanieV2,2,Lagos/Lagos_EPSG32631_2.tif,Lagos/COS9/Lagos_2_mask.tif,0,0,2048,2048,2
DigitanieV2,3,Lagos/Lagos_EPSG32631_3.tif,Lagos/COS9/Lagos_3_mask.tif,0,0,2048,2048,3
DigitanieV2,4,Lagos/Lagos_EPSG32631_4.tif,Lagos/COS9/Lagos_4_mask.tif,0,0,2048,2048,4
DigitanieV2,5,Lagos/Lagos_EPSG32631_5.tif,Lagos/COS9/Lagos_5_mask.tif,0,0,2048,2048,5
DigitanieV2,6,Lagos/Lagos_EPSG32631_6.tif,Lagos/COS9/Lagos_6_mask.tif,0,0,2048,2048,6
DigitanieV2,7,Lagos/Lagos_EPSG32631_7.tif,Lagos/COS9/Lagos_7_mask.tif,0,0,2048,2048,7
DigitanieV2,8,Lagos/Lagos_EPSG32631_8.tif,Lagos/COS9/Lagos_8_mask.tif,0,0,2048,2048,8
DigitanieV2,9,Lagos/Lagos_EPSG32631_9.tif,Lagos/COS9/Lagos_9_mask.tif,0,0,2048,2048,9
DigitanieV2,0,Maros/Maros_EPSG32750_0.tif,Maros/COS9/Maros_0-v4.tif,0,0,2048,2048,0
DigitanieV2,1,Maros/Maros_EPSG32750_1.tif,Maros/COS9/Maros_1-v4.tif,0,0,2048,2048,1
DigitanieV2,2,Maros/Maros_EPSG32750_2.tif,Maros/COS9/Maros_2-v4.tif,0,0,2048,2048,2
DigitanieV2,3,Maros/Maros_EPSG32750_3.tif,Maros/COS9/Maros_3-v4.tif,0,0,2048,2048,3
DigitanieV2,4,Maros/Maros_EPSG32750_4.tif,Maros/COS9/Maros_4-v4.tif,0,0,2048,2048,4
DigitanieV2,5,Maros/Maros_EPSG32750_5.tif,Maros/COS9/Maros_5-v4.tif,0,0,2048,2048,5
DigitanieV2,6,Maros/Maros_EPSG32750_6.tif,Maros/COS9/Maros_6-v4.tif,0,0,2048,2048,6
DigitanieV2,7,Maros/Maros_EPSG32750_7.tif,Maros/COS9/Maros_7-v4.tif,0,0,2048,2048,7
DigitanieV2,8,Maros/Maros_EPSG32750_8.tif,Maros/COS9/Maros_8-v4.tif,0,0,2048,2048,8
DigitanieV2,9,Maros/Maros_EPSG32750_9.tif,Maros/COS9/Maros_9-v4.tif,0,0,2048,2048,9
DigitanieV2,0,Munich/Munich_EPSG32632_0.tif,Munich/COS9/Munich_0.tif,0,0,2048,2048,0
DigitanieV2,1,Munich/Munich_EPSG32632_1.tif,Munich/COS9/Munich_1.tif,0,0,2048,2048,1
DigitanieV2,2,Munich/Munich_EPSG32632_2.tif,Munich/COS9/Munich_2.tif,0,0,2048,2048,2
DigitanieV2,3,Munich/Munich_EPSG32632_3.tif,Munich/COS9/Munich_3.tif,0,0,2048,2048,3
DigitanieV2,4,Munich/Munich_EPSG32632_4.tif,Munich/COS9/Munich_4.tif,0,0,2048,2048,4
DigitanieV2,5,Munich/Munich_EPSG32632_5.tif,Munich/COS9/Munich_5.tif,0,0,2048,2048,5
DigitanieV2,6,Munich/Munich_EPSG32632_6.tif,Munich/COS9/Munich_6.tif,0,0,2048,2048,6
DigitanieV2,7,Munich/Munich_EPSG32632_7.tif,Munich/COS9/Munich_7.tif,0,0,2048,2048,7
DigitanieV2,8,Munich/Munich_EPSG32632_8.tif,Munich/COS9/Munich_8.tif,0,0,2048,2048,8
DigitanieV2,9,Munich/Munich_EPSG32632_9.tif,Munich/COS9/Munich_9.tif,0,0,2048,2048,9
DigitanieV2,0,Paris/Paris_EPSG2154_0.tif,Paris/COS9/Paris_0.tif,0,0,2048,2048,0
DigitanieV2,1,Paris/Paris_EPSG2154_1.tif,Paris/COS9/Paris_1.tif,0,0,2048,2048,1
DigitanieV2,2,Paris/Paris_EPSG2154_2.tif,Paris/COS9/Paris_2.tif,0,0,2048,2048,2
DigitanieV2,3,Paris/Paris_EPSG2154_3.tif,Paris/COS9/Paris_3.tif,0,0,2048,2048,3
DigitanieV2,4,Paris/Paris_EPSG2154_4.tif,Paris/COS9/Paris_4.tif,0,0,2048,2048,4
DigitanieV2,5,Paris/Paris_EPSG2154_5.tif,Paris/COS9/Paris_5.tif,0,0,2048,2048,5
DigitanieV2,6,Paris/Paris_EPSG2154_6.tif,Paris/COS9/Paris_6.tif,0,0,2048,2048,6
DigitanieV2,7,Paris/Paris_EPSG2154_7.tif,Paris/COS9/Paris_7.tif,0,0,2048,2048,7
DigitanieV2,8,Paris/Paris_EPSG2154_8.tif,Paris/COS9/Paris_8.tif,0,0,2048,2048,8
DigitanieV2,9,Paris/Paris_EPSG2154_9.tif,Paris/COS9/Paris_9.tif,0,0,2048,2048,9
