city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id
DigitanieV2,0,Arcachon/Arcachon_EPSG32630_0.tif,Arcachon/COS9/Arcachon_0.tif,0,0,2048,2048,0
DigitanieV2,1,Arcachon/Arcachon_EPSG32630_1.tif,Arcachon/COS9/Arcachon_1.tif,0,0,2048,2048,1
DigitanieV2,2,Arcachon/Arcachon_EPSG32630_2.tif,Arcachon/COS9/Arcachon_2.tif,0,0,2048,2048,2
DigitanieV2,3,Arcachon/Arcachon_EPSG32630_3.tif,Arcachon/COS9/Arcachon_3.tif,0,0,2048,2048,3
DigitanieV2,4,Arcachon/Arcachon_EPSG32630_4.tif,Arcachon/COS9/Arcachon_4.tif,0,0,2048,2048,4
DigitanieV2,5,Arcachon/Arcachon_EPSG32630_5.tif,Arcachon/COS9/Arcachon_5.tif,0,0,2048,2048,5
DigitanieV2,6,Arcachon/Arcachon_EPSG32630_6.tif,Arcachon/COS9/Arcachon_6.tif,0,0,2048,2048,6
DigitanieV2,7,Arcachon/Arcachon_EPSG32630_7.tif,Arcachon/COS9/Arcachon_7.tif,0,0,2048,2048,7
DigitanieV2,8,Arcachon/Arcachon_EPSG32630_8.tif,Arcachon/COS9/Arcachon_8.tif,0,0,2048,2048,8
DigitanieV2,9,Arcachon/Arcachon_EPSG32630_9.tif,Arcachon/COS9/Arcachon_9.tif,0,0,2048,2048,9
