dataset_cls,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id
MiniworldChristchurch,0,test/0_x.tif,test/0_y.tif,0,0,1500,1500,0
MiniworldChristchurch,2,test/2_x.tif,test/2_y.tif,0,0,1500,1500,1
MiniworldChristchurch,3,test/3_x.tif,test/3_y.tif,0,0,1500,1500,2
MiniworldChristchurch,6,test/6_x.tif,test/6_y.tif,0,0,1500,1500,3
MiniworldChristchurch,8,test/8_x.tif,test/8_y.tif,0,0,1500,1500,4
MiniworldChristchurch,9,test/9_x.tif,test/9_y.tif,0,0,1500,1500,5
MiniworldChristchurch,10,test/10_x.tif,test/10_y.tif,0,0,1500,1500,6
MiniworldChristchurch,11,test/11_x.tif,test/11_y.tif,0,0,1500,1500,7
MiniworldChristchurch,12,test/12_x.tif,test/12_y.tif,0,0,1500,1500,8
MiniworldChristchurch,13,test/13_x.tif,test/13_y.tif,0,0,1500,1500,9
MiniworldChristchurch,14,test/14_x.tif,test/14_y.tif,0,0,1500,1500,10
MiniworldChristchurch,16,test/16_x.tif,test/16_y.tif,0,0,1500,1500,11
MiniworldChristchurch,18,test/18_x.tif,test/18_y.tif,0,0,1500,1500,12
MiniworldChristchurch,19,test/19_x.tif,test/19_y.tif,0,0,1500,1500,13
MiniworldChristchurch,20,test/20_x.tif,test/20_y.tif,0,0,1500,1500,14
MiniworldChristchurch,21,test/21_x.tif,test/21_y.tif,0,0,1500,1500,15
MiniworldChristchurch,22,test/22_x.tif,test/22_y.tif,0,0,1500,1500,16
MiniworldChristchurch,24,test/24_x.tif,test/24_y.tif,0,0,1500,1500,17
MiniworldChristchurch,26,test/26_x.tif,test/26_y.tif,0,0,1500,1500,18
MiniworldChristchurch,27,test/27_x.tif,test/27_y.tif,0,0,1500,1500,19
MiniworldChristchurch,28,test/28_x.tif,test/28_y.tif,0,0,1500,1500,20
MiniworldChristchurch,29,test/29_x.tif,test/29_y.tif,0,0,1500,1500,21
MiniworldChristchurch,30,test/30_x.tif,test/30_y.tif,0,0,1500,1500,22
MiniworldChristchurch,31,test/31_x.tif,test/31_y.tif,0,0,1500,1500,23
MiniworldChristchurch,32,test/32_x.tif,test/32_y.tif,0,0,1500,1500,24
MiniworldChristchurch,33,test/33_x.tif,test/33_y.tif,0,0,1500,1500,25
MiniworldChristchurch,34,test/34_x.tif,test/34_y.tif,0,0,1500,1500,26
MiniworldChristchurch,35,test/35_x.tif,test/35_y.tif,0,0,1500,1500,27
MiniworldChristchurch,36,test/36_x.tif,test/36_y.tif,0,0,1500,1500,28
MiniworldChristchurch,37,test/37_x.tif,test/37_y.tif,0,0,1500,1500,29
MiniworldChristchurch,39,test/39_x.tif,test/39_y.tif,0,0,1500,1500,30
MiniworldChristchurch,40,test/40_x.tif,test/40_y.tif,0,0,1500,1500,31
MiniworldChristchurch,41,test/41_x.tif,test/41_y.tif,0,0,1500,1500,32
MiniworldChristchurch,42,test/42_x.tif,test/42_y.tif,0,0,1500,1500,33
MiniworldChristchurch,43,test/43_x.tif,test/43_y.tif,0,0,1500,1500,34
MiniworldChristchurch,44,test/44_x.tif,test/44_y.tif,0,0,1500,1500,35
MiniworldChristchurch,45,test/45_x.tif,test/45_y.tif,0,0,1500,1500,36
MiniworldChristchurch,46,test/46_x.tif,test/46_y.tif,0,0,1500,1500,37
MiniworldChristchurch,48,test/48_x.tif,test/48_y.tif,0,0,1500,1500,38
MiniworldChristchurch,50,test/50_x.tif,test/50_y.tif,0,0,1500,1500,39
MiniworldChristchurch,51,test/51_x.tif,test/51_y.tif,0,0,1500,1500,40
MiniworldChristchurch,53,test/53_x.tif,test/53_y.tif,0,0,1500,1500,41
MiniworldChristchurch,54,test/54_x.tif,test/54_y.tif,0,0,1500,1500,42
MiniworldChristchurch,55,test/55_x.tif,test/55_y.tif,0,0,1500,1500,43
MiniworldChristchurch,56,test/56_x.tif,test/56_y.tif,0,0,1500,1500,44
MiniworldChristchurch,57,test/57_x.tif,test/57_y.tif,0,0,1500,1500,45
MiniworldChristchurch,58,test/58_x.tif,test/58_y.tif,0,0,1500,1500,46
MiniworldChristchurch,60,test/60_x.tif,test/60_y.tif,0,0,1500,1500,47
MiniworldChristchurch,61,test/61_x.tif,test/61_y.tif,0,0,1500,1500,48
MiniworldChristchurch,65,test/65_x.tif,test/65_y.tif,0,0,1500,1500,49
MiniworldChristchurch,66,test/66_x.tif,test/66_y.tif,0,0,1500,1500,50
MiniworldChristchurch,67,test/67_x.tif,test/67_y.tif,0,0,1500,1500,51
MiniworldChristchurch,68,test/68_x.tif,test/68_y.tif,0,0,1500,1500,52
MiniworldChristchurch,69,test/69_x.tif,test/69_y.tif,0,0,1500,1500,53
MiniworldChristchurch,70,test/70_x.tif,test/70_y.tif,0,0,1500,1500,54
MiniworldChristchurch,71,test/71_x.tif,test/71_y.tif,0,0,1500,1500,55
MiniworldChristchurch,72,test/72_x.tif,test/72_y.tif,0,0,1500,477,56
MiniworldChristchurch,73,test/73_x.tif,test/73_y.tif,0,0,1500,1500,57
MiniworldChristchurch,74,test/74_x.tif,test/74_y.tif,0,0,1500,1500,58
MiniworldChristchurch,75,test/75_x.tif,test/75_y.tif,0,0,1500,1500,59
MiniworldChristchurch,78,test/78_x.tif,test/78_y.tif,0,0,1500,1500,60
MiniworldChristchurch,79,test/79_x.tif,test/79_y.tif,0,0,1500,1500,61
MiniworldChristchurch,81,test/81_x.tif,test/81_y.tif,0,0,1500,1500,62
MiniworldChristchurch,82,test/82_x.tif,test/82_y.tif,0,0,1500,1500,63
MiniworldChristchurch,83,test/83_x.tif,test/83_y.tif,0,0,1500,1500,0
MiniworldChristchurch,84,test/84_x.tif,test/84_y.tif,0,0,1500,1500,1
MiniworldChristchurch,85,test/85_x.tif,test/85_y.tif,0,0,1500,1500,2
MiniworldChristchurch,86,test/86_x.tif,test/86_y.tif,0,0,1500,1500,3
MiniworldChristchurch,87,test/87_x.tif,test/87_y.tif,0,0,1500,1500,4
MiniworldChristchurch,89,test/89_x.tif,test/89_y.tif,0,0,1500,1500,5
MiniworldChristchurch,90,test/90_x.tif,test/90_y.tif,0,0,1500,1500,6
MiniworldChristchurch,91,test/91_x.tif,test/91_y.tif,0,0,1500,1500,7
MiniworldChristchurch,93,test/93_x.tif,test/93_y.tif,0,0,1500,1500,8
MiniworldChristchurch,94,train/0_x.tif,train/0_y.tif,0,0,1500,1500,9
MiniworldChristchurch,96,train/2_x.tif,train/2_y.tif,0,0,1500,1500,10
MiniworldChristchurch,97,train/3_x.tif,train/3_y.tif,0,0,1500,1500,11
MiniworldChristchurch,98,train/4_x.tif,train/4_y.tif,0,0,1500,1500,12
MiniworldChristchurch,99,train/5_x.tif,train/5_y.tif,0,0,1500,1500,13
MiniworldChristchurch,100,train/6_x.tif,train/6_y.tif,0,0,1500,1500,14
MiniworldChristchurch,101,train/7_x.tif,train/7_y.tif,0,0,1500,1500,15
MiniworldChristchurch,102,train/8_x.tif,train/8_y.tif,0,0,1500,1500,16
MiniworldChristchurch,104,train/10_x.tif,train/10_y.tif,0,0,1500,1500,17
MiniworldChristchurch,105,train/11_x.tif,train/11_y.tif,0,0,1500,1500,18
MiniworldChristchurch,106,train/12_x.tif,train/12_y.tif,0,0,1500,1500,19
MiniworldChristchurch,107,train/13_x.tif,train/13_y.tif,0,0,1500,1500,20
MiniworldChristchurch,108,train/14_x.tif,train/14_y.tif,0,0,1500,1500,21
MiniworldChristchurch,109,train/15_x.tif,train/15_y.tif,0,0,1500,1500,22
MiniworldChristchurch,110,train/16_x.tif,train/16_y.tif,0,0,1500,1500,23
MiniworldChristchurch,111,train/17_x.tif,train/17_y.tif,0,0,1500,1500,24
MiniworldChristchurch,113,train/19_x.tif,train/19_y.tif,0,0,1500,1500,25
MiniworldChristchurch,114,train/20_x.tif,train/20_y.tif,0,0,1500,1500,26
MiniworldChristchurch,115,train/21_x.tif,train/21_y.tif,0,0,1500,1500,27
MiniworldChristchurch,116,train/22_x.tif,train/22_y.tif,0,0,1500,1500,28
MiniworldChristchurch,118,train/24_x.tif,train/24_y.tif,0,0,1500,1500,29
MiniworldChristchurch,119,train/25_x.tif,train/25_y.tif,0,0,1500,1500,30
MiniworldChristchurch,120,train/26_x.tif,train/26_y.tif,0,0,1500,1500,31
MiniworldChristchurch,121,train/27_x.tif,train/27_y.tif,0,0,1500,1500,32
MiniworldChristchurch,122,train/28_x.tif,train/28_y.tif,0,0,1500,1500,33
MiniworldChristchurch,123,train/29_x.tif,train/29_y.tif,0,0,1500,1500,34
MiniworldChristchurch,124,train/30_x.tif,train/30_y.tif,0,0,1500,1500,35
MiniworldChristchurch,125,train/31_x.tif,train/31_y.tif,0,0,1500,1500,36
MiniworldChristchurch,126,train/32_x.tif,train/32_y.tif,0,0,1500,1500,37
MiniworldChristchurch,128,train/34_x.tif,train/34_y.tif,0,0,1500,1500,38
MiniworldChristchurch,129,train/35_x.tif,train/35_y.tif,0,0,1500,1500,39
MiniworldChristchurch,132,train/38_x.tif,train/38_y.tif,0,0,1500,1500,40
MiniworldChristchurch,133,train/39_x.tif,train/39_y.tif,0,0,1500,1500,41
MiniworldChristchurch,134,train/40_x.tif,train/40_y.tif,0,0,1500,1500,42
