city,tile_id,img_path,label_path,x0,y0,patch_width,patch_height,fold_id,origin_tile
DigitanieMontpellier,1,Montpellier/montpellier_tuile_1_img_normalized.tif,Montpellier/montpellier_tuile_1.tif,0,0,2000,2000,0,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,2,Montpellier/montpellier_tuile_2_img_normalized.tif,Montpellier/montpellier_tuile_2.tif,0,0,2000,2000,1,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,3,Montpellier/montpellier_tuile_3_img_normalized.tif,Montpellier/montpellier_tuile_3.tif,0,0,2000,2000,2,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,4,Montpellier/montpellier_tuile_4_img_normalized.tif,Montpellier/montpellier_tuile_4.tif,0,0,2000,2000,3,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,5,Montpellier/montpellier_tuile_5_img_normalized.tif,Montpellier/montpellier_tuile_5.tif,0,0,2000,2000,4,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,6,Montpellier/montpellier_tuile_6_img_normalized.tif,Montpellier/montpellier_tuile_6.tif,0,0,2000,2000,5,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,7,Montpellier/montpellier_tuile_7_img_normalized.tif,Montpellier/montpellier_tuile_7.tif,0,0,2000,2000,6,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,8,Montpellier/montpellier_tuile_8_img_normalized.tif,Montpellier/montpellier_tuile_8.tif,0,0,2000,2000,7,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,9,Montpellier/montpellier_tuile_9_img_normalized.tif,Montpellier/montpellier_tuile_9.tif,0,0,2000,2000,8,Montpellier/montpellier_full_tiled.tif
DigitanieMontpellier,10,Montpellier/montpellier_tuile_10_img_normalized.tif,Montpellier/montpellier_tuile_10.tif,0,0,2000,2000,9,Montpellier/montpellier_full_tiled.tif
